model_name	model_family	perturbation_type_supported	input_required	output_type	target_coverage	endpoint_compatible_output	included_role	reason_included	reason_excluded	claim_ceiling	panel	model_id	selection_role	endpoint_used_for_selection	allowed_claim_role	selection_note	cell_line	total_shift_depmap_status	axis_aligned_depmap_status	target_identity_preservation_status	artifact_role	path	size_bytes	sha256	figure_group	bytes
											c	lm_train_lowrank_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	null_model					HCC1143	non_estimable_constant_score	non_estimable_constant_score	non_estimable_constant_score						
											c	null_model					HCC38	non_estimable_constant_score	non_estimable_constant_score	non_estimable_constant_score						
											c	scgen_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	scgen_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	scgpt_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	scgpt_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	shared_mean_baseline					HCC1143	non_estimable_constant_score	estimated	non_estimable_constant_score						
											c	shared_mean_baseline					HCC38	non_estimable_constant_score	estimated	non_estimable_constant_score						
shared_mean_diagnostic_reference							diagnostic_control			score calibration, not deployable prediction	d															
GEARS							primary_entrant			genetic perturbation recovery in evaluated contexts	d															
scGPT							embedding_control			embedding-based recovery, not direct perturbation deployment	d															
Geneformer							embedding_control			embedding-based recovery, not direct perturbation deployment	d															
scGPT-ridge							linear_embedding_control			linear recovery from pretrained embedding	d															
Geneformer-ridge							linear_embedding_control			linear recovery from pretrained embedding	d															
low-rank linear decoder							linear_control			linear recovery behavior	d															
CPA							boundary_negative_entrant			current within-context endpoint-recovery entrant; HCC1143 interpreted as common/stress-like boundary case	d															
CellOT							P2_candidate_sensitivity_entrant			optional sensitivity entrant	d															
scGen							positive_entrant			most consistent current within-context target-observed endpoint-recovery entrant	d															
scDisInFact							registry_only			registry-only unless benchmark design expands	d															
											e										model_endpoint_recovery_interpretation	reports/model_endpoint_recovery/model_endpoint_recovery_interpretation.md	10739.0	6186b06159c400f27fc7204b1d5365bf05e5426365d16ce2799a5ef49839f475		
											e										model_summary	reports/model_endpoint_recovery/model_summary.tsv	20061.0	405c11d21c57b50290b592eddd5d3d28ee41ae0ee91e9a639a4df488b4311e17		
											e										target_summary	reports/model_endpoint_recovery/target_summary.tsv	662449.0	4fe0d73c1db84b3486c23cb0df5f0359650f13dbcf9bb3ae016d8d44ec56ce05		
											e										axis_projection	reports/model_endpoint_recovery/axis_projection.tsv	7736881.0	ac13033dcede572f49b82f93e10c2bc5de2838bd4e4d2a1bee819cc9b53742c7		
											e										category_summary	reports/model_endpoint_recovery/category_summary.tsv	21607.0	bd1893bd8becb4dd45c463b0079735604d0de073f444b02060805121c3abce0a		
											e										endpoint_thresholds	reports/model_endpoint_recovery/endpoint_thresholds.tsv	245.0	449f9741b1ab0a72ea2694e54d0410f7ec9fa4ce6b08a6e7a19e516d931bf680		
											e										target_identity_summary	reports/model_endpoint_recovery/target_identity_summary.tsv	6279.0	a57745c7b5894d069683d6e9800ae3879c8f738589835270f2a1d694c80848e5		
											e										common_response_quadrant	reports/model_endpoint_recovery/common_response_quadrant.tsv	5239.0	df883c1a4581d3e22f438101fd5404d3716b5c7f47608a22d0d56df4dc581c5e		
											e										residual_endpoint_recovery	reports/model_endpoint_recovery/residual_endpoint_recovery.tsv	8396.0	2e17c033b9adf12aa00820965e52f2b70deb7db723f5475101d177f57a55d15c		
											e										gears_selection_registry	reports/model_endpoint_recovery/gears_selection_registry.tsv	1076.0	289213fcd81d80d0b06c6754c5ce871c4f5096455a598cc3d98990efd450697d		
											e										total_shift_vs_depmap_small_multiples	reports/model_endpoint_recovery/figures/total_shift_vs_depmap_small_multiples.png	296232.0	073c8af1cdac1e0aee577fa1aae4542dec343b0a8e5dd62f3ddeba91d649f0d3		
											e										axis_aligned_shift_vs_depmap_small_multiples	reports/model_endpoint_recovery/figures/axis_aligned_shift_vs_depmap_small_multiples.png	331881.0	3086e57237187187eeef7ca189e5a16871f7c81a77858df101ca6666fa7c9a1e		
											e										common_response_quadrant	reports/model_endpoint_recovery/figures/common_response_quadrant.png	156149.0	f4fe24e2f75727e952820ac3ea6484d930e147d5aead97a0782bde476bcd8084		
											e										target_identity_preservation	reports/model_endpoint_recovery/figures/target_identity_preservation.png	121182.0	514f019290588c10b617049a306e98fb80bfffd7db39aaa097b78cdf78e06874		
											e										endpoint_recovery_figure_source_data	reports/model_endpoint_recovery/figures/endpoint_recovery_figure_source_data.tsv	652903.0	906b085b5a4ffdc4586f8237556f255743e996a1985b83f73f4aa0c2e68ae2ed		
											e										model_recovery_figure_source_data	reports/model_endpoint_recovery/figures/model_recovery_figure_source_data.tsv	19615.0	29bc1d020aa670888dfbf53346b246798549e19784199247363cefa4329a270b		
											e										model_endpoint_recovery_metrics	reports/model_endpoint_recovery/source_data/model_endpoint_recovery_metrics.tsv	20061.0	405c11d21c57b50290b592eddd5d3d28ee41ae0ee91e9a639a4df488b4311e17		
											e										model_endpoint_recovery_pq_values	reports/model_endpoint_recovery/source_data/model_endpoint_recovery_pq_values.tsv	1313.0	3eb985ac6464963621a7b698f74558d78ef9d3fda672aa7b16b90ba6d6800036		
											e										model_endpoint_category_summary	reports/model_endpoint_recovery/source_data/model_endpoint_category_summary.tsv	21607.0	bd1893bd8becb4dd45c463b0079735604d0de073f444b02060805121c3abce0a		
											e										model_common_response_metrics	reports/model_endpoint_recovery/source_data/model_common_response_metrics.tsv	5239.0	df883c1a4581d3e22f438101fd5404d3716b5c7f47608a22d0d56df4dc581c5e		
											e										model_target_identity_preservation	reports/model_endpoint_recovery/source_data/model_target_identity_preservation.tsv	6279.0	a57745c7b5894d069683d6e9800ae3879c8f738589835270f2a1d694c80848e5		
											e										model_registry	reports/model_endpoint_recovery/source_data/model_registry.tsv	1076.0	289213fcd81d80d0b06c6754c5ce871c4f5096455a598cc3d98990efd450697d		
											e										figure_panel_source_manifest	reports/model_endpoint_recovery/source_data/figure_panel_source_manifest.tsv	3688.0	2df031fb4cf98c89fe2edde5e3c08ca0420827f49ed88ab4c499c9e8f27845aa		
											e										figure3	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3.png	3689038.0	8b2ae6fa415933c561b667bbfc7a887370c80a9657baa8c105d038b5e28b0302		
											e										figure3	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3.pdf	77678.0	306cd80931903ce8513aa14746a81721bcd4562f46219aa0a2580d72f6226dbd		
											e										figure3_source_data	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3_source_data.tsv	345988.0	46ae2163bd5abca211a60d7ec626e291bcd37d5dddf439c202299b8e894cebcc		
											e										edfigure6	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6.png	2967252.0	f357a9ed9872dacfc695a3bc2abae0fd1f975bfc70ae022fce6f67e7ea01c760		
											e										edfigure6	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6.pdf	218395.0	a6e8c31cba3323f91917b67ae0bc32f489aeb4e26daa0b261cdaca6195cf1bb7		
											e										edfigure6_source_data	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6_source_data.tsv	31511.0	cdf5e2ee91d4327d3ecb5644ba934223d6ccdf69297a258eb0b7f414219d7367		
											f											figures/Extended_Data_Figure_1/Extended_Data_Figure_1_source_data.tsv		f7fe939f2557800b2c58e3cbf80360a7ed648858d488b5f205b2a45135ea74bd	Extended_Data_Figure_1	1267190.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_a_source_data.tsv		fd0cf2f4988b46af9375d243c3c4909378d637b16043cb57fbaf2ff6b60a4202	Extended_Data_Figure_1	902.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_b_source_data.tsv		1a54577a2c08548f0a7a333e6bcdf039342f93ae67b914c4c175023b2c9db525	Extended_Data_Figure_1	968280.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_c_source_data.tsv		88fef7262b3f46a38b38d8d0a2269e3e2e4c48c9d954892945c177b64b315f29	Extended_Data_Figure_1	159690.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_d_source_data.tsv		165677cb7071977b344e698c63ab2017fb2e88afb766f1acdc85f0599ac11cb5	Extended_Data_Figure_1	736.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_e_source_data.tsv		42a1c88b39837e4ef4bd77073063a40a8d8f3cda3ebd19d6de5c220b8f4342a4	Extended_Data_Figure_1	745.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_f_source_data.tsv		f8f3d32ebff1b8c3bf2c5ce161e67ba363d8fdbf627f3677e2ae3e9adb70a77e	Extended_Data_Figure_1	76122.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_g_source_data.tsv		945928e570eed2aef2f9b0f18d47b28713e478721df532d2962c9583a7173452	Extended_Data_Figure_1	2048.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_h_source_data.tsv		c878289849c17bad174b24e8b474bc2f433f3d37a74c5e84647e27a6e02d976a	Extended_Data_Figure_1	2091.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_i_source_data.tsv		f38680d0152303c527ebcc22b5e18b9ef06ad9b292fa5fb5593ec428ab388c3c	Extended_Data_Figure_1	478.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_j_source_data.tsv		cbac44f81eced238719a59f8e34c3c91f46d734866a5b527282baf4bbeae90ac	Extended_Data_Figure_1	444.0
											f											figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_k_source_data.tsv		381688d61e37fa9f27c967577b76582acc3725be252faa9ffccd67c1a98e331c	Extended_Data_Figure_1	79817.0
											f											figures/Extended_Data_Figure_2/Extended_Data_Figure_2_source_data.tsv		c0acb3d351353f56c61a9bad4e4d01174e0aed6d7ed546eaeef1bb761a880086	Extended_Data_Figure_2	22059.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_a_source_data.tsv		924fbc0ccb289f9c0c49ca4007b1975e3f8d2e6639b855817c06ffef17920d63	Extended_Data_Figure_2	8133.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_b_source_data.tsv		fa734c4aa2703d15497f5bbd6aa60a5827c072d05ebea9b2601d5b081caa5d97	Extended_Data_Figure_2	4181.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_c_source_data.tsv		0b2ac0fb96d5c8f908ab7917195fc45f087d0247844291252301c3be22c8165b	Extended_Data_Figure_2	2793.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_d_source_data.tsv		5604ef67b7f09f8d5b5392d0f810de55abba2266fe5080ed6bfac19230980f1b	Extended_Data_Figure_2	847.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_e_source_data.tsv		9a77b66b8d7b5627ba451e0169880d68ffdbe2cad38ae413a8d0ed0d96fb52e5	Extended_Data_Figure_2	1051.0
											f											figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_f_source_data.tsv		b877d2f56293dfaddcb27b9602cc3daef7b253c0caa557f90dfb7239a898da62	Extended_Data_Figure_2	2177.0
											f											figures/Extended_Data_Figure_3/Extended_Data_Figure_3_source_data.tsv		c5046ebda6be3b3e2afb460238600e67681190817950c76dfd5a42ef77b716eb	Extended_Data_Figure_3	5359032.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_a_source_data.tsv		8bf9c130c6226c1e2c154746e8e5a738862bbb7910b0a064003fc76a405f32bd	Extended_Data_Figure_3	4164.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_b_source_data.tsv		ac5b2c8f9142618179632cabf41a4ab9f3d8b566433b4c94b92c611d3d8b6b4b	Extended_Data_Figure_3	4184.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_c_source_data.tsv		600dfe3963a02cdd7c89bef7674e0d4340e32a0559cd1a6e8f7e93869ba35be8	Extended_Data_Figure_3	655658.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_d_source_data.tsv		26510811c8419ec2d0976dd1b700fd349094204c800be592508155fa285a3970	Extended_Data_Figure_3	3223878.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_e_source_data.tsv		ac9a8657b5e1c7aab640a49c9a7a8e3fcad4c3368fd6b5cf162587ade13e35a8	Extended_Data_Figure_3	354409.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_f_source_data.tsv		0addb46190b4d8dc0ca9638c3ed6d8ac2cb044014656ee4dfa25a5d786ac2f32	Extended_Data_Figure_3	580589.0
											f											figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_g_source_data.tsv		b933ee173a43f9e0640065bc32bf9ecde321c3848e11e10190edea903c34ca42	Extended_Data_Figure_3	3864.0
											f											figures/Extended_Data_Figure_4/Extended_Data_Figure_4_source_data.tsv		10e0e8b219d19f73c1ccec0c4b9cbd34790ee2376afa4af7c45feb12dac29925	Extended_Data_Figure_4	32034.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_a_source_data.tsv		e12202ad072580adae2b4c6194644be85b805b66740e65e51a831c366f5fb19f	Extended_Data_Figure_4	4059.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_b_source_data.tsv		289213fcd81d80d0b06c6754c5ce871c4f5096455a598cc3d98990efd450697d	Extended_Data_Figure_4	1076.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_c_source_data.tsv		9022368f0621178819c62cbbac8ccbd06d430295991a815b401d326fa9c3d932	Extended_Data_Figure_4	2376.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_d_source_data.tsv		983501d783cd3458a6464ca515c92ded330cce596c63bf858b67cdc2a5b733fe	Extended_Data_Figure_4	993.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_e_source_data.tsv		eb583d5df7b7625299d97e1e811d70d9ac72ae476d8347f87b3d20a050ccc372	Extended_Data_Figure_4	5034.0
											f											figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_f_source_data.tsv		1f54c932b624d85858a62bd4974731feab52874cdf516722ec2d35f6d628719d	Extended_Data_Figure_4	14198.0
											f											figures/Extended_Data_Figure_5/Extended_Data_Figure_5_source_data.tsv		5c95a3d6f20f9bc5ac947c2bfeedb41abae0437b6a471846dbb378fc3fbfdbf9	Extended_Data_Figure_5	105752.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_a_source_data.tsv		f946950a3c2072df1573fcfa08557b903984e615d6a688540540949692659619	Extended_Data_Figure_5	3237.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_b_source_data.tsv		31ee414ea9674d8aa7c96459bbf09104819268bf8e1ec233d3728f0077fab015	Extended_Data_Figure_5	3538.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_c_source_data.tsv		27ef46d9511124b1dccc4263edfdf86cea8b1d62897bc1ba1e36904c3eeb5cd7	Extended_Data_Figure_5	1746.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_d_source_data.tsv		3eb985ac6464963621a7b698f74558d78ef9d3fda672aa7b16b90ba6d6800036	Extended_Data_Figure_5	1313.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_e_source_data.tsv		0d4fc2e19ebe9b86a6a8ad3241a826ba05d61a749315354139a0febc4589fc02	Extended_Data_Figure_5	8559.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_f_source_data.tsv		db45118f75c2bfe029eec10f453a08482e7202f6b0e9520e032c30f14474182b	Extended_Data_Figure_5	63529.0
											f											figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_g_source_data.tsv		a4e3bf483ce8ca272d05ce7701156d539157b1480c8df1e8131eda7cd778bbd2	Extended_Data_Figure_5	1461.0
											f											figures/Extended_Data_Figure_6/Extended_Data_Figure_6_source_data.tsv		b5d4d0538c43e78ed85e72938f4eab9320500a5fbb865c1f854412656698dada	Extended_Data_Figure_6	46238.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_a_source_data.tsv		b01fae40d937f404f0dce70adf9e33249054dc6dfa8a99f03e25582be31e707b	Extended_Data_Figure_6	5152.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_b_source_data.tsv		31be620107c9504cc9ebaac83b2480d94f84ac982fa50f3938249df051c6ddc2	Extended_Data_Figure_6	6136.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_c_source_data.tsv		f2d1f9315066b3c21e112edc58094d9220488aceb2690ac50cafa8a2e064b464	Extended_Data_Figure_6	6017.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_d_source_data.tsv		31be620107c9504cc9ebaac83b2480d94f84ac982fa50f3938249df051c6ddc2	Extended_Data_Figure_6	6136.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_e_source_data.tsv		217ff5dee7d5f8e47f230c95cbce8e3d8bfdf3d3cd9e8e45be1e37023cbc8eb7	Extended_Data_Figure_6	5520.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_f_source_data.tsv		b07b354679d45773b828948586decb9e39c6966bf3a839448265e8c91538b0a3	Extended_Data_Figure_6	5757.0
											f											figures/Extended_Data_Figure_6/panels/Extended_Data_Figure_6_panel_g_source_data.tsv		565c7447ce7c06222b9ba6fcac41ad823d9d680868dc82b9b445b63904da6600	Extended_Data_Figure_6	3366.0
											f											figures/Extended_Data_Figure_7/Extended_Data_Figure_7_source_data.tsv		39879f36d36979dddd215d0091bf7735ec516751a4751788903f2ff7b871e85e	Extended_Data_Figure_7	10840286.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_a_source_data.tsv		dc4fbcd2ae9a69276e5a6c9bd351b2f26f843a650ffa6cdf5f1e82b0699a28bd	Extended_Data_Figure_7	673.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_b_source_data.tsv		76af8b3cf4417673f19001a96490e5c069e3a287516c6a382ce17cb1b4bdc447	Extended_Data_Figure_7	129831.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_c_source_data.tsv		82200cf2a906357197ecf84d2fd4a2e640f3b3e4bef07a73b0f60e8eb8cbed77	Extended_Data_Figure_7	2934051.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_d_source_data.tsv		cad26c46cbe014853076688b14f0e9acaec41e74c22f23e0ae4dbb7b3b11ab11	Extended_Data_Figure_7	6655320.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_e_source_data.tsv		b56d2581c3369df2a1462d9d8d7aa0ff9c2c8f9224ec0f85bbcac31084a870a9	Extended_Data_Figure_7	66336.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_f_source_data.tsv		08737ce8cf0d2c10e984e54fd0491c65b03a76f349f04042d4378818120e10e3	Extended_Data_Figure_7	63697.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_g_source_data.tsv		80f30b41be0c2756b4c334040f79ea050fac39f1fada84fa4de58a9b6e9f00d3	Extended_Data_Figure_7	442527.0
											f											figures/Extended_Data_Figure_7/panels/Extended_Data_Figure_7_panel_h_source_data.tsv		573f10838102fb51d1e8d1130c81b98181f3132477af9034b065f2abf47f8f0d	Extended_Data_Figure_7	1189.0
											f											figures/Figure_1/Figure_1_source_data.tsv		6c36f202ece5fdf1579c7778db23d188826321dc88d83a1da662b7308c98c059	Figure_1	1740.0
											f											figures/Figure_1/panels/Figure_1_panel_a_source_data.tsv		aa6a7131a8ddfa8871370bb1397b436762cd3544139d1b2c970696de33a56fa3	Figure_1	274.0
											f											figures/Figure_1/panels/Figure_1_panel_b_source_data.tsv		78fea97cfd0d4f4def4c993eba45936ba6f4e133487ff1ca05e0ba855e59c091	Figure_1	574.0
											f											figures/Figure_1/panels/Figure_1_panel_c_source_data.tsv		e7b0cd1adf148ac724ce97996b60616903267cc9bfaff382350ae3bd286033ed	Figure_1	406.0
											f											figures/Figure_1/panels/Figure_1_panel_d_source_data.tsv		356508c86765b22cbcad5954e2dafa42b00d11e4dc19da235fe95270ad4f885f	Figure_1	238.0
											f											figures/Figure_2/Figure_2_source_data.tsv		7d5393679e1a0d1256fadbe94f60a6b7371c81aa15a0eb05f12e1630b2ad4f13	Figure_2	50805.0
											f											figures/Figure_2/panels/Figure_2_panel_a_source_data.tsv		99fe2e64f266fcc88cd1c523816bccc13c2ca6e5b8268f2bad434c74c96e65b0	Figure_2	23207.0
											f											figures/Figure_2/panels/Figure_2_panel_b_source_data.tsv		ff66cb061f37069d4096413d6cf6fb4bafd1588dc7da3a10472c3f0072066eeb	Figure_2	23295.0
											f											figures/Figure_2/panels/Figure_2_panel_c_source_data.tsv		bf87856dfb0d3a487ea78267a491469ab977e15c3f68279e577b24d546e3bfd3	Figure_2	347.0
